Frequency_Hz,Open,High,Low,Close
0.0,8.471727444384317,8.471727444384317,0.2902059592734811,0.2902059592734811
0.25,0.2736265281633543,0.2736265281633543,0.2736265281633543,0.2736265281633543
0.5,0.1825906702198205,0.1825906702198205,0.1825906702198205,0.1825906702198205
0.75,0.2430784682221228,0.3232185503100444,0.2430784682221228,0.3232185503100444
1.0,0.1207360549637068,0.1207360549637068,0.1207360549637068,0.1207360549637068
1.25,0.272179265954075,0.272179265954075,0.272179265954075,0.272179265954075
1.5,0.1407433735714805,0.1407433735714805,0.070143000237945,0.070143000237945
1.75,0.5595637828221467,0.5595637828221467,0.5595637828221467,0.5595637828221467
2.0,0.1928545940617584,0.1928545940617584,0.1928545940617584,0.1928545940617584
2.25,0.3373190217314041,0.3373190217314041,0.1244298550175683,0.1244298550175683
2.5,0.3001404103771209,0.3001404103771209,0.3001404103771209,0.3001404103771209
2.75,0.2077574222804215,0.2077574222804215,0.2077574222804215,0.2077574222804215
3.0,0.2036456498187058,0.2036456498187058,0.2036456498187058,0.2036456498187058
3.25,0.6248976542382702,0.6248976542382702,0.2748298826343697,0.2748298826343697
3.5,0.4205598735676754,0.4205598735676754,0.4205598735676754,0.4205598735676754
3.75,0.5767901059372755,0.5767901059372755,0.5767901059372755,0.5767901059372755
4.0,0.3493843021455105,0.3493843021455105,0.2292226743564805,0.2292226743564805
4.25,0.0324694492897956,0.0324694492897956,0.0324694492897956,0.0324694492897956
4.5,0.2274091372621415,0.2274091372621415,0.2274091372621415,0.2274091372621415
4.75,0.5612280006289172,0.5612280006289172,0.2738877692206885,0.2738877692206885
5.0,0.3690804181650851,0.3690804181650851,0.3690804181650851,0.3690804181650851
5.25,0.2461439071970523,0.2461439071970523,0.2461439071970523,0.2461439071970523
5.5,0.1087145903304131,0.2445174420922746,0.1087145903304131,0.2445174420922746
5.75,0.1038770925271572,0.1038770925271572,0.1038770925271572,0.1038770925271572
6.0,0.2582125049646508,0.2582125049646508,0.2582125049646508,0.2582125049646508
6.25,0.5024457812577812,0.5024457812577812,0.5024457812577812,0.5024457812577812
6.5,0.3763869484215368,0.3763869484215368,0.3581522394285235,0.3581522394285235
6.75,0.570008867388471,0.570008867388471,0.570008867388471,0.570008867388471
7.0,0.4275365153462667,0.4275365153462667,0.4275365153462667,0.4275365153462667
7.25,0.4331551973369649,0.5921493841176116,0.4331551973369649,0.5921493841176116
7.5,0.3805105466402618,0.3805105466402618,0.3805105466402618,0.3805105466402618
7.75,0.2070821718493839,0.2070821718493839,0.2070821718493839,0.2070821718493839
8.0,0.3600741994603675,0.3600741994603675,0.3430033330608504,0.3430033330608504
8.25,0.4071868198192991,0.4071868198192991,0.4071868198192991,0.4071868198192991
8.5,0.3085105458488019,0.3085105458488019,0.3085105458488019,0.3085105458488019
8.75,0.3318175167899312,0.4649054105485521,0.3318175167899312,0.4649054105485521
9.0,0.1524298270269574,0.1524298270269574,0.1524298270269574,0.1524298270269574
9.25,0.7184497601620573,0.7184497601620573,0.7184497601620573,0.7184497601620573
9.5,0.207543629019235,0.207543629019235,0.207543629019235,0.207543629019235
9.75,0.0968090383481089,0.4125584855612051,0.0968090383481089,0.4125584855612051
10.0,0.2609204411961168,0.2609204411961168,0.2609204411961168,0.2609204411961168
10.25,0.6269357105574601,0.6269357105574601,0.6269357105574601,0.6269357105574601
10.5,0.6593393720243448,0.6593393720243448,0.275011971501732,0.275011971501732
10.75,0.373671717239649,0.373671717239649,0.373671717239649,0.373671717239649
11.0,0.2997361770624471,0.2997361770624471,0.2997361770624471,0.2997361770624471
11.25,0.4609799252559308,0.836520742508207,0.4609799252559308,0.836520742508207
11.5,0.6189869849856183,0.6189869849856183,0.6189869849856183,0.6189869849856183
11.75,0.8178678482006024,0.8178678482006024,0.8178678482006024,0.8178678482006024
12.0,0.3026374996608271,0.3998807970040789,0.3026374996608271,0.3998807970040789
12.25,0.4667892400975578,0.4667892400975578,0.4667892400975578,0.4667892400975578
12.5,0.0120347241382279,0.0120347241382279,0.0120347241382279,0.0120347241382279
12.75,0.1279677462939631,0.1279677462939631,0.1279677462939631,0.1279677462939631
13.0,0.459810891358214,0.459810891358214,0.0320404569879785,0.0320404569879785
13.25,0.2969765031708928,0.2969765031708928,0.2969765031708928,0.2969765031708928
13.5,0.3210879974012749,0.3210879974012749,0.3210879974012749,0.3210879974012749
13.75,0.2617680306054232,0.2617680306054232,0.0780649726206162,0.0780649726206162
14.0,0.2200034379210805,0.2200034379210805,0.2200034379210805,0.2200034379210805
14.25,0.3103444525008628,0.3103444525008628,0.3103444525008628,0.3103444525008628
14.5,0.9046889186004822,0.9046889186004822,0.3710336372184328,0.3710336372184328
14.75,0.6195548562965506,0.6195548562965506,0.6195548562965506,0.6195548562965506
15.0,0.3343929333645387,0.3343929333645387,0.3343929333645387,0.3343929333645387
